input_id,topology_id,distribution,parameter_set,space_m,node_count,seed,transmission_range_m,packet_size_bits,initial_energy_j,max_rounds,min_alive_ratio,alpha_weight,beta_weight,gamma_weight,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,pso_inertia,pso_c1,pso_c2,pso_omega,contention_penalty_factor,contention_reference_degree,contention_max_multiplier
uniform_s100_n50_seed4005_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4005,uniform,baseline,100,50,4005,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4006_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4006,uniform,baseline,100,50,4006,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4007_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4007,uniform,baseline,100,50,4007,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4008_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4008,uniform,baseline,100,50,4008,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4009_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4009,uniform,baseline,100,50,4009,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4010_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4010,uniform,baseline,100,50,4010,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4011_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4011,uniform,baseline,100,50,4011,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4012_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4012,uniform,baseline,100,50,4012,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4013_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4013,uniform,baseline,100,50,4013,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n50_seed4014_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n50_seed4014,uniform,baseline,100,50,4014,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4000,uniform,baseline,100,100,4000,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4001_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4001,uniform,baseline,100,100,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4002_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4002,uniform,baseline,100,100,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4003_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4003,uniform,baseline,100,100,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4004_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4004,uniform,baseline,100,100,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4005_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4005,uniform,baseline,100,100,4005,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4006_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4006,uniform,baseline,100,100,4006,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4007_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4007,uniform,baseline,100,100,4007,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4008_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4008,uniform,baseline,100,100,4008,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4009_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4009,uniform,baseline,100,100,4009,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4010_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4010,uniform,baseline,100,100,4010,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4011_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4011,uniform,baseline,100,100,4011,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4012_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4012,uniform,baseline,100,100,4012,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4013_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4013,uniform,baseline,100,100,4013,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n100_seed4014_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n100_seed4014,uniform,baseline,100,100,4014,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4000,uniform,baseline,100,150,4000,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4001_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4001,uniform,baseline,100,150,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4002_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4002,uniform,baseline,100,150,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4003_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4003,uniform,baseline,100,150,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4004_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4004,uniform,baseline,100,150,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4005_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4005,uniform,baseline,100,150,4005,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4006_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4006,uniform,baseline,100,150,4006,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4007_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4007,uniform,baseline,100,150,4007,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4008_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4008,uniform,baseline,100,150,4008,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4009_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4009,uniform,baseline,100,150,4009,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4010_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4010,uniform,baseline,100,150,4010,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4011_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4011,uniform,baseline,100,150,4011,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4012_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4012,uniform,baseline,100,150,4012,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4013_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4013,uniform,baseline,100,150,4013,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s100_n150_seed4014_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s100_n150_seed4014,uniform,baseline,100,150,4014,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4000,uniform,baseline,500,100,4000,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4001_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4001,uniform,baseline,500,100,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4002_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4002,uniform,baseline,500,100,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4003_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4003,uniform,baseline,500,100,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4004_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4004,uniform,baseline,500,100,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4005_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4005,uniform,baseline,500,100,4005,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4006_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4006,uniform,baseline,500,100,4006,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4007_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4007,uniform,baseline,500,100,4007,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4008_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4008,uniform,baseline,500,100,4008,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4009_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4009,uniform,baseline,500,100,4009,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4010_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4010,uniform,baseline,500,100,4010,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4011_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4011,uniform,baseline,500,100,4011,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4012_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4012,uniform,baseline,500,100,4012,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4013_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4013,uniform,baseline,500,100,4013,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n100_seed4014_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n100_seed4014,uniform,baseline,500,100,4014,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4000,uniform,baseline,500,200,4000,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4001_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4001,uniform,baseline,500,200,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4002_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4002,uniform,baseline,500,200,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4003_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4003,uniform,baseline,500,200,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4004_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4004,uniform,baseline,500,200,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4005_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4005,uniform,baseline,500,200,4005,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4006_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4006,uniform,baseline,500,200,4006,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4007_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4007,uniform,baseline,500,200,4007,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4008_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4008,uniform,baseline,500,200,4008,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4009_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4009,uniform,baseline,500,200,4009,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4010_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4010,uniform,baseline,500,200,4010,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4011_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4011,uniform,baseline,500,200,4011,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4012_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4012,uniform,baseline,500,200,4012,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4013_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4013,uniform,baseline,500,200,4013,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
uniform_s500_n200_seed4014_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform_s500_n200_seed4014,uniform,baseline,500,200,4014,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
