topology_id,distribution,space_m,node_count,seed,width_m,height_m,depth_m,sink_x_m,sink_y_m,sink_depth_m,gaussian_std_fraction,exponential_scale_fraction
uniform_s100_n100_seed4008,uniform,100,100,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4009,uniform,100,100,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4010,uniform,100,100,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4011,uniform,100,100,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4012,uniform,100,100,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4013,uniform,100,100,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4014,uniform,100,100,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4000,uniform,100,150,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4001,uniform,100,150,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4002,uniform,100,150,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4003,uniform,100,150,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4004,uniform,100,150,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4005,uniform,100,150,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4006,uniform,100,150,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4007,uniform,100,150,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4008,uniform,100,150,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4009,uniform,100,150,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4010,uniform,100,150,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4011,uniform,100,150,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4012,uniform,100,150,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4013,uniform,100,150,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n150_seed4014,uniform,100,150,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s500_n100_seed4000,uniform,500,100,4000,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4001,uniform,500,100,4001,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4002,uniform,500,100,4002,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4003,uniform,500,100,4003,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4004,uniform,500,100,4004,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4005,uniform,500,100,4005,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4006,uniform,500,100,4006,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4007,uniform,500,100,4007,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4008,uniform,500,100,4008,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4009,uniform,500,100,4009,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4010,uniform,500,100,4010,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4011,uniform,500,100,4011,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4012,uniform,500,100,4012,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4013,uniform,500,100,4013,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n100_seed4014,uniform,500,100,4014,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4000,uniform,500,200,4000,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4001,uniform,500,200,4001,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4002,uniform,500,200,4002,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4003,uniform,500,200,4003,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4004,uniform,500,200,4004,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4005,uniform,500,200,4005,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4006,uniform,500,200,4006,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4007,uniform,500,200,4007,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4008,uniform,500,200,4008,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4009,uniform,500,200,4009,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4010,uniform,500,200,4010,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4011,uniform,500,200,4011,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4012,uniform,500,200,4012,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4013,uniform,500,200,4013,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n200_seed4014,uniform,500,200,4014,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4000,uniform,500,300,4000,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4001,uniform,500,300,4001,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4002,uniform,500,300,4002,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4003,uniform,500,300,4003,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4004,uniform,500,300,4004,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4005,uniform,500,300,4005,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4006,uniform,500,300,4006,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4007,uniform,500,300,4007,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4008,uniform,500,300,4008,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4009,uniform,500,300,4009,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4010,uniform,500,300,4010,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4011,uniform,500,300,4011,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4012,uniform,500,300,4012,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4013,uniform,500,300,4013,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s500_n300_seed4014,uniform,500,300,4014,500,500,500,250.0,250.0,0.0,0.18,0.35
uniform_s1000_n500_seed4000,uniform,1000,500,4000,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4001,uniform,1000,500,4001,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4002,uniform,1000,500,4002,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4003,uniform,1000,500,4003,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4004,uniform,1000,500,4004,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4005,uniform,1000,500,4005,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4006,uniform,1000,500,4006,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4007,uniform,1000,500,4007,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4008,uniform,1000,500,4008,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4009,uniform,1000,500,4009,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4010,uniform,1000,500,4010,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4011,uniform,1000,500,4011,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4012,uniform,1000,500,4012,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4013,uniform,1000,500,4013,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n500_seed4014,uniform,1000,500,4014,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4000,uniform,1000,1000,4000,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4001,uniform,1000,1000,4001,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4002,uniform,1000,1000,4002,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4003,uniform,1000,1000,4003,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4004,uniform,1000,1000,4004,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4005,uniform,1000,1000,4005,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4006,uniform,1000,1000,4006,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4007,uniform,1000,1000,4007,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4008,uniform,1000,1000,4008,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4009,uniform,1000,1000,4009,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4010,uniform,1000,1000,4010,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4011,uniform,1000,1000,4011,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4012,uniform,1000,1000,4012,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4013,uniform,1000,1000,4013,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1000_seed4014,uniform,1000,1000,4014,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4000,uniform,1000,1500,4000,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4001,uniform,1000,1500,4001,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4002,uniform,1000,1500,4002,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4003,uniform,1000,1500,4003,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4004,uniform,1000,1500,4004,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4005,uniform,1000,1500,4005,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4006,uniform,1000,1500,4006,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4007,uniform,1000,1500,4007,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4008,uniform,1000,1500,4008,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4009,uniform,1000,1500,4009,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4010,uniform,1000,1500,4010,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4011,uniform,1000,1500,4011,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4012,uniform,1000,1500,4012,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4013,uniform,1000,1500,4013,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n1500_seed4014,uniform,1000,1500,4014,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4000,uniform,1000,2000,4000,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4001,uniform,1000,2000,4001,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4002,uniform,1000,2000,4002,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4003,uniform,1000,2000,4003,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4004,uniform,1000,2000,4004,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4005,uniform,1000,2000,4005,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4006,uniform,1000,2000,4006,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4007,uniform,1000,2000,4007,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4008,uniform,1000,2000,4008,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4009,uniform,1000,2000,4009,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4010,uniform,1000,2000,4010,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4011,uniform,1000,2000,4011,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4012,uniform,1000,2000,4012,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4013,uniform,1000,2000,4013,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
uniform_s1000_n2000_seed4014,uniform,1000,2000,4014,1000,1000,1000,500.0,500.0,0.0,0.18,0.35
gaussian_s100_n20_seed4000,gaussian,100,20,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4001,gaussian,100,20,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4002,gaussian,100,20,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4003,gaussian,100,20,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4004,gaussian,100,20,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4005,gaussian,100,20,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4006,gaussian,100,20,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4007,gaussian,100,20,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4008,gaussian,100,20,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4009,gaussian,100,20,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4010,gaussian,100,20,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4011,gaussian,100,20,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4012,gaussian,100,20,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4013,gaussian,100,20,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n20_seed4014,gaussian,100,20,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4000,gaussian,100,50,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4001,gaussian,100,50,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4002,gaussian,100,50,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4003,gaussian,100,50,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4004,gaussian,100,50,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4005,gaussian,100,50,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4006,gaussian,100,50,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4007,gaussian,100,50,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4008,gaussian,100,50,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4009,gaussian,100,50,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4010,gaussian,100,50,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4011,gaussian,100,50,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4012,gaussian,100,50,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4013,gaussian,100,50,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n50_seed4014,gaussian,100,50,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4000,gaussian,100,100,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4001,gaussian,100,100,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4002,gaussian,100,100,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4003,gaussian,100,100,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4004,gaussian,100,100,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4005,gaussian,100,100,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4006,gaussian,100,100,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4007,gaussian,100,100,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4008,gaussian,100,100,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4009,gaussian,100,100,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4010,gaussian,100,100,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4011,gaussian,100,100,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4012,gaussian,100,100,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4013,gaussian,100,100,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n100_seed4014,gaussian,100,100,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4000,gaussian,100,150,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4001,gaussian,100,150,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4002,gaussian,100,150,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4003,gaussian,100,150,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4004,gaussian,100,150,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4005,gaussian,100,150,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4006,gaussian,100,150,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4007,gaussian,100,150,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4008,gaussian,100,150,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4009,gaussian,100,150,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4010,gaussian,100,150,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4011,gaussian,100,150,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4012,gaussian,100,150,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4013,gaussian,100,150,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s100_n150_seed4014,gaussian,100,150,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
gaussian_s500_n100_seed4000,gaussian,500,100,4000,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4001,gaussian,500,100,4001,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4002,gaussian,500,100,4002,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4003,gaussian,500,100,4003,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4004,gaussian,500,100,4004,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4005,gaussian,500,100,4005,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4006,gaussian,500,100,4006,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4007,gaussian,500,100,4007,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4008,gaussian,500,100,4008,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4009,gaussian,500,100,4009,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4010,gaussian,500,100,4010,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4011,gaussian,500,100,4011,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4012,gaussian,500,100,4012,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4013,gaussian,500,100,4013,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n100_seed4014,gaussian,500,100,4014,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4000,gaussian,500,200,4000,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4001,gaussian,500,200,4001,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4002,gaussian,500,200,4002,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4003,gaussian,500,200,4003,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4004,gaussian,500,200,4004,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4005,gaussian,500,200,4005,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4006,gaussian,500,200,4006,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4007,gaussian,500,200,4007,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4008,gaussian,500,200,4008,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4009,gaussian,500,200,4009,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4010,gaussian,500,200,4010,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4011,gaussian,500,200,4011,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4012,gaussian,500,200,4012,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4013,gaussian,500,200,4013,500,500,500,250.0,250.0,0.0,0.18,0.35
gaussian_s500_n200_seed4014,gaussian,500,200,4014,500,500,500,250.0,250.0,0.0,0.18,0.35
