input_id,distribution,optimizer,space_m,node_count,seed,cluster_head_ratio,purpose
uniform_s500_n300_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,ga,500,300,4000,0.2,representative_detail_no_routing
uniform_s500_n300_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,leach,500,300,4000,0.2,representative_detail_no_routing
uniform_s500_n300_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,pso,500,300,4000,0.2,representative_detail_no_routing
exponential_s1000_n500_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,exponential,de,1000,500,4000,0.2,representative_detail_no_routing
exponential_s1000_n500_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,exponential,ga,1000,500,4000,0.2,representative_detail_no_routing
exponential_s1000_n500_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,exponential,leach,1000,500,4000,0.2,representative_detail_no_routing
exponential_s1000_n500_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,exponential,pso,1000,500,4000,0.2,representative_detail_no_routing
gaussian_s1000_n500_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,gaussian,de,1000,500,4000,0.2,representative_detail_no_routing
gaussian_s1000_n500_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,gaussian,ga,1000,500,4000,0.2,representative_detail_no_routing
gaussian_s1000_n500_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,gaussian,leach,1000,500,4000,0.2,representative_detail_no_routing
gaussian_s1000_n500_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,gaussian,pso,1000,500,4000,0.2,representative_detail_no_routing
uniform_s1000_n500_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,uniform,de,1000,500,4000,0.2,representative_detail_no_routing
uniform_s1000_n500_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,uniform,ga,1000,500,4000,0.2,representative_detail_no_routing
uniform_s1000_n500_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,uniform,leach,1000,500,4000,0.2,representative_detail_no_routing
uniform_s1000_n500_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5_it20,uniform,pso,1000,500,4000,0.2,representative_detail_no_routing
